"'"
"2003 Representation Order Federal Electroral District(FED) to 2013 Representation Order Federal Electroral District*"

"Province or territory","New FED number- 2013","New FED name- 2013","Old FED number- 2003","Old FED name- 2003"
"Ontario",35062,"Mississauga--Malton",35051,"Mississauga - Streetsville"
"Ontario",35063,"Mississauga--Streetsville",35030,"Halton"
"Ontario",35063,"Mississauga--Streetsville",35047,"Mississauga - Brampton South"
"Ontario",35063,"Mississauga--Streetsville",35051,"Mississauga - Streetsville"
"Ontario",35064,"Nepean",35052,"Nepean - Carleton"
"Ontario",35065,"Newmarket--Aurora",35053,"Newmarket - Aurora"
"Ontario",35065,"Newmarket--Aurora",35104,"York - Simcoe"
"Ontario",35066,"Niagara Centre",35076,"St. Catharines"
"Ontario",35066,"Niagara Centre",35097,"Welland"
"Ontario",35067,"Niagara Falls",35054,"Niagara Falls"
